Barrie,691000,775000,903000,1,380000,840000,976527,127,
Belleville - Quinte West,290000,360000,420000,530000,367500,411829,14,
Brantford,604000,814000,1072000,1,148000,990000,896569,13,
Chatham-Kent,**,**,**,**,**,*,0,
Cornwall,**,**,**,**,**,**,0,
Greater Sudbury / Grand Sudbury,**,**,**,**,**,566050,14,
Guelph,**,**,**,**,**,1856400,7,
Hamilton,570000,700000,900000,1170000,790000,945631,63,
Kawartha Lakes,**,**,**,**,**,**,0,
Kingston,700000,700000,700000,852000,700000,750799,13,
Kitchener - Cambridge - Waterloo,900000,981000,1125000,1300000,1042500,1106812,132,
London,850000,934000,1140000,1440000,990000,1159281,54,
Norfolk,**,**,**,**,**,**,1,
North Bay,**,**,**,**,**,**,0,
Oshawa,976000,1130000,1225000,1415000,1195000,1350178,87,
Ottawa,770000,889000,1000000,1100000,945000,919367,167,
Peterborough,900000,958000,1230000,1450000,1150000,1166251,22,
Sarnia,**,**,**,**,**,**,0,
Sault Ste. Marie,**,**,**,**,**,**,0,
St. Catharines - Niagara,830000,850000,900000,1000000,870000,983225,170,
Thunder Bay,**,**,**,**,**,**,1,
Toronto,940000,1020000,1590000,1855000,1145000,1430318,549,
Windsor,760000,879000,1000000,1324000,950000,1054475,55,
Ontario,820000,930000,1080000,1500000,1000000,1172504,1,489,
